Code;Name;Currency;Market Cap (m);Price;Change;Change %
SHEL;SHELL PLC ORD EUR0.07;GBX;172714.19;2607.5;11.5;0.44%
AZN;ASTRAZENECA PLC ORD SHS $O.25;GBX;168721.83;11046;160;1.47%
HSBA;HSBC HLDGS PLC ORD $0.50 (UK REG);GBX;124692.67;643.1;7;1.10%
ULVR;UNILEVER PLC ORD 3 1/9P;GBX;103939.72;4116;-19;-0.46%
BP;BP PLC $0.25;GBX;89232.2;525.7;5.3;1.02%
DGE;DIAGEO PLC ORD 28 101/108P;GBX;70548.97;3153.5;14;0.45%
RIO;RIO TINTO PLC ORD 10P;GBX;64306.46;5183;43;0.84%
GSK;GSK PLC ORD 31 1/4P;GBX;62678.32;1527.8;-2.8;-0.18%
BATS;BRITISH AMERICAN TOBACCO PLC ORD 25P;GBX;60952.54;2710;-15.5;-0.57%
GLEN;GLENCORE PLC ORD USD0.01;GBX;55832.55;455.05;3;0.66%
REL;RELX PLC ORD 14 51/116P;GBX;52748.89;2782;-8;-0.29%
RKT;RECKITT BENCKISER GROUP POLC ORD 10P;GBX;42496.45;5878;-44;-0.74%
LSEG;LONDON STOCK EXCHANGE GROUP PLC ORD SHS 6 79/86P;GBX;41665.4;8378;38;0.46%
NG;NATIONAL GRID PLC ORD 12 204/473P;GBX;37949.94;1022.5;-6.5;-0.63%
CPG;COMPASS GROUP PLC ORD 11 1/20P;GBX;35178.41;2017;-29;-1.42%
BA;BAE SYSTEMS PLC ORD 2.5P;GBX;31324.52;1011;-18.5;-1.80%
CRH;CRH PLC ORD EUR 0.32 (CDI);GBX;31190.61;4341;-45;-1.03%
HLN;HALEON PLC ORD GBP0.01;GBX;31088.19;334.8;-1.85;-0.55%
AAL;ANGLO AMERICAN PLC ORD USD0.54945;GBX;29894.87;2248;13;0.58%
LLOY;LLOYDS BANKING GROUP PLC ORD 10P;GBX;28227.98;45.34;0.92;2.06%
